,date,user_id,username,tweet
3441,2021-11-07 07:03:30,1453990572,_rodahidup,An inside look at how TTSH battled back after becoming Singapore's first COVID-19 hospital cluster     
3440,2021-11-07 14:06:42,1453990572,_rodahidup,COVID-19 spreads through the air. Here's what you can do about it this winter  
3439,2021-11-07 16:49:54,797812808,LinetteMLim,"Covid changed the calculus for all who lead transnational lives. So I'm grateful for the opportunity to visit home for work &amp; play. Woke up at 5.30am today to spend time with my folks, &amp; I'm marvelling at the freedom, mobility &amp; calmness that exists for a 3000-cases-a-day society  "
3438,2021-11-07 19:19:06,1453990572,_rodahidup,Anti COVID-19 vaccination videos on YouTube channel removed for 'violating community guidelines': MOH     
3437,2021-11-07 19:19:21,1453990572,_rodahidup,Developer of Malaysia’s COVID-19 contact tracing app apologises for wrongly giving some users quarantine status      
3436,2021-11-07 22:28:03,90176469,cpgillespie, Nothing experimental about COVID vaccines and big bird has been promoting medical science for decades.
3435,2021-11-08 07:37:06,1077860483351203840,pianzyyy,i hope y’all die from covid 👍
3434,2021-11-08 09:30:27,56692334,imjuanitaingram,"This is the new norm. There’s no zero covid agenda here, this is living with covid and moving forward. Takes some getting use to but I get it. Almost 99% with no or mild symptoms. 85% fully vaccinated population."
3432,2021-11-08 18:32:41,1453990572,_rodahidup,"Southeast Asia's COVID-19 situation 'fast stabilising', risk classification for some countries adjusted: Ong Ye Kung     "
3431,2021-11-08 21:25:25,1293579807121264640,supernathant97,100.000 POKÉSTOPS VISITED ⚡ A lil milestone on my #PokemonGo journey! Yes all these were spun here in Singapore 🇸🇬 as I only returned to the game after COVID happened 👾 Posting one of my favourite shots I took during my Europe trip in 2019 to curb my wanderlust ✈️ #CleanNumbers  
3430,2021-11-09 14:48:46,135909074,MamaCranky,Very interesting article on whether women have “long covid” or is it just the effects of perimenopause  
3429,2021-11-09 15:35:03,88847200,darkhorsedadi,even covid has a conscience
3428,2021-11-09 19:33:13,2667248953,IrfnMrn,Staycay cancelled due to Covid stuff. But oh well. Had fun nonetheless 💚  
3427,2021-11-09 22:25:18,1453990572,_rodahidup,Mother of boy in ICU with rare inflammatory syndrome after COVID-19 warns parents on symptoms to look out for     
3426,2021-11-09 23:25:32,997540176,kwahdrahteenee,"covid no longer scares me, it annoys me"
3425,2021-11-10 10:24:41,208163181,iamdjsathiya,So 4 lions from Night Safari tested Positive for Covid-19 after being exposed to a staff who had the virus! Now another lion is being tested
3424,2021-11-10 16:01:59,203884269,Rys5a_Gonzalez,"Finally after 2 full weeks of losing my sense of smell &amp; taste, it came back to me! Was scary! One such dread the COVID lucky I’m spared from that. Phew! Grateful to be able to smell all my favs fragrance &amp; able to taste &amp; appreciate the food I consume once again.🥰"
3423,2021-11-10 16:26:57,203884269,Rys5a_Gonzalez,"1 such place I dread go is d hospital,it brings bitter memories of seeing peps I love withers &amp; gone!Esp covid high cases in Sg,d more i dreaded d more I found myself being there,err not for myself but for my poor dad who’s suffering from dementia, assessment close to 6 hours!😬"
3422,2021-11-10 17:55:28,1439779557922328580,GhafoorrJ,Weekly covid test.  
3421,2021-11-10 18:17:57,135909074,MamaCranky, I had Pfizer for my 1st 2 vaccines but decided to mix it up a little for my booster Should you mix and match Covid-19 vaccines for your booster shot?  
3420,2021-11-10 19:30:14,353223273,Souljakid94,Fuck this covid shit. Sian ready.
3419,2021-11-10 19:53:00,135909074,MamaCranky,"  I haven’t read any myself but just taking advice. Here’s an local news article Avoid strenuous activity for 2 weeks after Covid-19 vaccine jabs, instead of 1 week, says expert panel  "
3418,2021-11-10 19:55:01,135909074,MamaCranky,  Heart inflammation after Covid-19 jabs: What does it mean for you?  
3417,2021-11-10 23:45:53,19785811,dwallbank,Covid community cases in Singapore are EXACTLY where they were a week ago.   But week/week is rising. Why? Because an outlier spike that was part of last week's count is now aged out of the count.
3416,2021-11-11 04:11:31,1453990572,_rodahidup,Lion at Singapore Zoo tests positive for COVID-19; five lions now infected      
3415,2021-11-11 07:47:43,203884269,Rys5a_Gonzalez,"To all my lovely friends who has sent their messages and worrying for me don’t be , no covid , Tested Negative! It was just normal bad flu! Grateful to be spared from it! Take care everyone &amp; take extra precautions , be safe wherever u are. 😷 Have a terrific Thursday !🌞 ♥️😃"
3414,2021-11-11 08:57:35,135909074,MamaCranky, And we can finally dine out as a family again! Restrictions are gradually lifting! S'pore eases Covid-19 rules from Nov 10: What you need to know  
3413,2021-11-11 09:18:27,135909074,MamaCranky, S'pore eases Covid-19 rules from Nov 10: What you need to know  
3412,2021-11-11 13:33:21,16006707,homiliai, Time for the world to abandon zero Covid and prepare our systems for endemic.
3411,2021-11-11 17:19:25,24382279,GauravJulka1,Any updates on when COVID will end?
3410,2021-11-11 17:54:36,715507198365839361,kathychen2016,Lion at Singapore Zoo tests positive for COVID-19; five lions now infected😅  
3409,2021-11-11 22:13:59,363494868,ArvinTunas,"If you see hawker centre or coffee shop during dinner or late dinner, you don’t think we are in 3000+ daily case situation. The good thing is that we seems to have successfully live with Covid."
3408,2021-11-11 23:24:38,20579807,mun_chong,"The zoo lions kena covid… mc lions at home are powerful, brave and healthy! Finished my work , shut down. Rest! @ Jurong West, Singapore  "
3407,2021-11-12 07:43:36,188347682,temptempholder,"12 Nov 2021. Some pics of food I had here. Personally, I am grateful for alot alot alot alot of things despite all hardship of my life. I am standing on shoulders of many good people who did their job so that I get to enjoy their skill. Tks to all covid related people.  "
3406,2021-11-12 08:17:01,41320948,kiwibrew,How you know someone gets paid to tweet for a living. Hey  do you also get paid for your COVID takes?  
3405,2021-11-12 10:10:09,2384753587,KamLarrykam,Study shows dramatic decline in effectiveness of all three COVID-19 vacc...   via 
3404,2021-11-12 12:11:44,2384753587,KamLarrykam,Is this fact check accurate ? Fact Check: Japan Did NOT Drop Its Vaccine Rollout And End COVID Almost Overnight With Ivermectin Lead Stories   via 
3403,2021-11-12 14:00:07,135909074,MamaCranky,Good article explaining the costs of covid care in Singapore. It’s not like the US  
3401,2021-11-12 17:53:01,1453990572,_rodahidup,"COVID-19 patients who are unvaccinated by choice could face S$25,000 bill before subsidies, says MOH     "
3400,2021-11-12 20:18:30,188347682,temptempholder,Certified infected and battled finished first round with covid using Double Vax Method . 12 Nov 2021.  The future is still unknown but still alive as of now.  
3399,2021-11-12 22:59:41,188347682,temptempholder,"Covid is a proof that people dun believe any proof. The only proof they will believe is when they see their coffin, when it is too late. So many family are broken apart as a result of such idiocy of human brain."
3398,2021-11-13 04:46:53,188347682,temptempholder,"Beside usual fears of death of myself and my family and unknowns of my infection of covid with my vaccine and the long lasting minor symptom,   I actually am super grateful as I see another set of knowledge from this 10 day course.  PAP is indeed a master in governance. Grateful"
3397,2021-11-13 04:46:54,188347682,temptempholder,That I got covid in Singapore.
3396,2021-11-13 05:01:18,1453990572,_rodahidup,"Singapore reports 3,099 new COVID-19 cases and 14 more deaths     "
3395,2021-11-13 05:04:15,188347682,temptempholder,7  hrs left after 10 days of isolation with covid.  
3394,2021-11-13 06:31:03,1453990572,_rodahidup,MOH to review expiry date of COVID-19 fully vaccinated status as more data on boosters become available     
3393,2021-11-13 06:32:34,1453990572,_rodahidup,"Even as Malaysia’s schools reopen, children may need help to deal with COVID-19 deaths, trauma     "
3392,2021-11-13 06:51:10,625438784,nurulsbna,"Didn’t i know the reaction pain after the vaccine, similar to Covid-19 vaccine. Hand so sore and damn heavy 😭"
3391,2021-11-13 08:30:32,19785811,dwallbank,Singapore Covid ratio now above 1 (above the level needed for more easing). Reasons why stated in thread below.  
3390,2021-11-13 10:33:53,188347682,temptempholder,"Tbh, Too many issues has happened to me for me to identify causality of health during isolation covid positive period.  I will not pretend to be smart enough to know what is what.  All I know is that I am urgent enough to vaccinated myself in Singapore 3.5mths before covid+"
3389,2021-11-13 16:42:34,188347682,temptempholder,You know I am alpha ultra when I listened to  Old speech on unconditional happiness after exiting a 16th day isolation since covid positive. That is why I am top tier life coach.  
3388,2021-11-13 17:29:25,190919109,freddjohns, Here the government says that you cant catch covid on trains or buses because the ventilation is superior on both.  
3387,2021-11-13 18:36:06,188347682,temptempholder,"As someone who finish home and hotel recovery, I really cannot express how grateful I am to have covid in Singapore 1yr 10 months after it first occured. As much as lives are loss, and my family is not safe yet, I still dun understand Singaporeans who complain non stop  "
3386,2021-11-13 23:59:41,1453990572,_rodahidup,"Singapore reports 2,304 new COVID-19 cases and 14 more deaths     "
3385,2021-11-14 09:41:32,188347682,temptempholder,"Thing of what I want to do when I am trying to recover from covid positive through my own way through my own research of proper newspaper media and radio channel interview and credited International doctors tweet, articles. But mostly local sources, MOH."
3384,2021-11-14 15:55:49,188347682,temptempholder,Maybe I got long covid.
3383,2021-11-14 17:40:19,1301714648291393537,eye_luxe,We have conducted our weekly COVID-19  antigen rapid test today and we receive negative results for all of our staffs. We take the well-being of our staffs and customers very seriously. Please feel free to contact our staff should you have any concerns or reservations.  
3382,2021-11-14 17:47:50,190919109,freddjohns," The *theory* is that the louder the background noise, the louder you’ll speak and project COVID everywhere  "
3381,2021-11-14 18:17:33,14671843,dreampipe,Most of the travel openings don’t really account for people post COVID positive and kind of leaves you rolling the dice on arrival
3380,2021-11-14 18:18:35,14671843,dreampipe, Another opening that seems to not account for post COVID positive people
3379,2021-11-14 18:37:44,14671843,dreampipe, Problem is all the testing is problematic post positive - singapore for example clears you For 270 days from all testing due to this and deems you as safer than anyone due to 2 shots and covid. Seems only the VTL countries align on this
3378,2021-11-14 20:37:07,49508430,toothfully,"Folks, don't get too distracted by #Covid. There is an issue of greater concern at the moment - obesity 😆 #Singapore #health #weightgain #weightloss #OBESE"
3377,2021-11-14 23:11:54,49508430,toothfully,Talking about #obesity in the midst of #Covid #COVID19at #CovidLong #Singapore  
3376,2021-11-15 01:09:59,14075966,torvaanser,"It was so wonderful to meet readers and sit with collaborators in a time of #COVID. Any crowd, no matter how small, is so precious. Thanks for coming out, if you can't, grab our book that's on sale for a limited time!  #MarvellousMammals    "
3375,2021-11-15 03:03:23,203884269,Rys5a_Gonzalez," I’m gd. Glad to know u doing fine.☺️Time flies. Soon wld be saying goodbyes to 2021!Wish could say goodbyes to the covid crisis as well! it’s not gone yet. Guess 1 fine day, when we don’t have to wear the mask when we leave home,we wld feel as if we are stripped naked for sure!😂"
3374,2021-11-15 03:55:20,1453990572,_rodahidup,"Singapore reports 1,723 new COVID-19 cases and 10 more deaths     "
3373,2021-11-15 04:00:24,1453990572,_rodahidup,Preliminary data of Pfizer's new Covid-19 pill 'sounds promising' but more data needed: NCID  
3372,2021-11-15 04:00:55,1453990572,_rodahidup,Why do more men die of Covid-19?  
3371,2021-11-15 18:07:26,159370949,NeLL_Hamdin,"Why natural immunity against COVID-19 is not as good as vaccination, according to doctors  "
3370,2021-11-15 18:57:42,49998884,Orrgarde," 4 days, 27 hours of flying, 3 Covid tests, lots of friends seen and lots of beer consumed 👍🏻"
3369,2021-11-16 06:40:26,759256634,s_nummelin,"What a friendly neighborhood #Covid @ Ang Mo Kio, Singapore  "
3368,2021-11-16 18:04:17,38093203,thegeekspeaks,😡😡😡 Chinese Covid workers strike corgi with crowbar before killing it   via 
3367,2021-11-16 21:46:09,1453990572,_rodahidup,   Long Covid.
3366,2021-11-17 07:44:29,76297929,edwinisdenim,"This project was already shit even before COVID happens. And i pity those Chinese who spent so much to buy this in advance. I remember Tun M was against this saying the Govt is selling Malaysia for money, along that line."
3365,2021-11-17 09:23:49,881887609521295360,xj_loh,"First session of Bloomberg New Economy Forum. Panelists discuss a world that is reshaped by COVID.  Haslinda Amin moderating the session with Michael Miebach, CEO Mastercard, Sunil Bharti Mittal, Chairman Bharti Enterprises and Jane Sun, CEO Trip. Com #NewEconomyForum  "
3364,2021-11-17 15:21:48,188347682,temptempholder,"Literally when I have cough during my covid positive infection, my father was so damn afraid my lungs will be ravaged by covid soon that he dished out this same exact nonsense fearing for my life if I did not take it.  I quarrel and gave in to his smelling garlic , herbal drink.  "
3363,2021-11-17 22:35:10,169434809,Chestyyyyyy,"Didn’t get covid, can I get ….  "
3362,2021-11-17 22:54:09,2384753587,KamLarrykam,"Biden Admin In Talks To Buy 10M Doses Of Pfizer’s Anti-COVID Pill, FDA C...   via "
3361,2021-11-18 03:40:38,1453990572,_rodahidup,"S'pore easing Covid-19 measures step by step to avoid U-turns, human cost: PM Lee  "
3360,2021-11-18 03:57:48,1453990572,_rodahidup,"Singapore reports 3,474 new COVID-19 cases and 7 more deaths     "
3359,2021-11-18 05:47:20,1492820996,withonespast,"Who would have thought that we would be doing these kinds of tests on ourselves in our homes, the new normal, as they call it. #covid @ Singapore / Singapura / 新加坡 / சிங்கப்பூர்  "
3358,2021-11-18 07:57:33,49508430,toothfully,What if we see another massive surge after 29 Nov? Limit dine in numbers again? #Singapore #COVIDIOT #Covid_19 #VTL #SG
3357,2021-11-18 08:56:36,188347682,temptempholder,"As a double Vax Moderna ex covid patient, I wonder if am damaged too permanently. I am definitely still functional now, I was not exactly healthy either before getting covid.  Maybe I become healthier after covid because of my increased awareness of death due to some cork up also"
3356,2021-11-18 09:46:17,1355305513706168321,trueSGP,17 Nov 2021 Singapore COVID-19 daily cases update #singapore #sg #Covid_19 #新加坡  
3355,2021-11-18 12:03:28,363494868,ArvinTunas,Really wondering the wisdom of my client project lead. We are distributing hundreds of PR letter door by door. Don’t they aware there this highly contagious things called COVID-19?
3354,2021-11-18 12:27:25,188347682,temptempholder,Yo. I just experienced these drivers. Tbh. They were driving too dangerous enroute to hotel and I was nearly killed by both their driving and covid.
3353,2021-11-18 12:41:15,18380362,mengweetan,30% of pre COVID biz. Civil servants you should cut salary by 70% to get the feel @ Blk 6 Tanjong Pagar Plaza Hawker Centre  
3352,2021-11-18 16:21:25,188347682,temptempholder,"6th day Of minor symptom, wed, finally relented and decide to take official govt route of being identified as covid positive officially and take 10 day isolation order.  "
3351,2021-11-18 16:30:13,188347682,temptempholder,15th day of symptom 9th day of hotel stay 2nd grab food order with free porridge after order came with spillage and my creative writing complaints to Grab on my son story life. Negative ART second time after I see bunk mate tested positive still. He got covid later than I did.  
3350,2021-11-18 17:49:47,1453990572,_rodahidup,Singapore trying to ease up 'step-by-step' on COVID-19 without making 'unsettling' U-turns: PM Lee     
3349,2021-11-18 21:17:45,49508430,toothfully,"Forget about Covid for a moment, won't you? 😆  "
3348,2021-11-19 00:50:01,188347682,temptempholder,Covid 19 seemed to be like Marvel End game where it is out numbered by evil vaccines and pills appearing but then all its allies in the world start teleporting last minute to save the earth from humanity
3346,2021-11-19 15:58:27,24907543,guaslackjack,"My back will disagree, but I really can’t wait to finally kick a ball in anger tonight #futsal #Covid_19"
3345,2021-11-19 19:11:39,1453990572,_rodahidup,"Austria reimposes full COVID-19 lockdown, to make vaccinations compulsory      "
3344,2021-11-19 19:12:22,1453990572,_rodahidup,First Wuhan COVID-19 case days later than initially reported: Scientist     
3343,2021-11-19 22:43:32,1453990572,_rodahidup,"Singapore reports 1,734 new COVID-19 cases and 16 more deaths; overall ICU rate falls to 57%     "
3342,2021-11-19 23:32:34,1453990572,_rodahidup,"Germany not ruling out COVID-19 lockdown, even for the vaccinated     "
3341,2021-11-20 01:35:42,1382308334376669190,SherlynSeahCNA,"Spoke to KKH for this:  Trial is key in getting young kids protected, as they’re “one of the most vulnerable” now - at high risk of getting inflammatory response from COVID-19.  Vaccination could let kids resume more activities too - be it social interactions, school programmes."
3340,2021-11-20 08:55:35,41320948,kiwibrew,A miraculous view for me &amp; a long time coming. Unexpected too - three weeks ago I was sick with COVID.  
3339,2021-11-20 08:58:09,41320948,kiwibrew,In the past couple of months COVID has run rampant in Singapore. Current advice from the govt is to stay home if you test positive on ART (lateral flow) unless you’re really sick. This doesn’t involve getting a PCR or counted in the stats.
3338,2021-11-20 08:59:18,41320948,kiwibrew,I lasted a week at home before I went for a PCR test - mainly because we were scheduled to have movers come &amp; empty our flat. That couldn’t happen if it was COVID. And it was.
3337,2021-11-20 10:01:36,188347682,temptempholder,"Other than weird minor symptom , as a positive person, I dunno what to say of covid.  It makes me think about being diagnosed with other types of illness too.  What does it mean to be having X?"
3336,2021-11-20 14:37:26,1453990572,_rodahidup,COVID-19 booster jabs to be offered 5 months after second dose for all eligible age groups     
3335,2021-11-20 15:08:10,135909074,MamaCranky, That’s right - you’ll have super antibodies!!! A friend had covid &amp; got their 2 shots but isn’t eligible for a booster either. It will be interesting to see what happens at the 1 year 2 week mark they’ve been discussing
3334,2021-11-20 20:11:34,2384753587,KamLarrykam,Scientists in China claim a new drug could stop Covid-19 without a vaccine   via 
3333,2021-11-20 22:06:15,49508430,toothfully,"If people chiong this X'mas and New Year with the VTL arrivals, we could end up with new restrictions during CNY. #Xmas #Singapore #Covid_19 #VTL  "
3332,2021-11-21 09:32:25,1453990572,_rodahidup,"Don't assume getting Covid-19 is safe when unvaccinated, more young people being infected: Kenneth Mak  "
3331,2021-11-21 09:41:13,135909074,MamaCranky, Same. Got my booster 10 days ago. But we are planning to go away in Dec for Xmas so I’m being careful. With 6 in our house If one of us gets covid it will take forever to get thru us all
3330,2021-11-21 12:01:24,190919109,freddjohns,"   Democrats said 2020 was the most important vote in our time and so we did the needful and handed them power. They proceeded to act like maybe it wasnt so dire. Then cut-and-run in afghanistan, have not done much better on COVID, and might(?) get this infrastructure thing done."
3329,2021-11-21 15:09:26,188347682,temptempholder,"Can u imagine how powerful covid is.  There are people in world right now telling parents if they do X, they will die,  And their parents insist that if the do X , they will actually live  And both sides are torn apart and unconvinced  But either way, covid is going kill one side"
3328,2021-11-21 20:33:42,21290288,derek6196,"Covid-19 time, get DW books and ebooks for productive reading time at home  "
3327,2021-11-21 22:20:12,17437319,chav_ez,In 5 days I return to Los Angeles from Singapore after 2 years of COVID-19 restricted travel. It'll be good to see family and friends.
3326,2021-11-21 23:12:45,2384753587,KamLarrykam,Tsinghua University professor on COVID-19 treatment   via 
3325,2021-11-22 04:09:59,1453990572,_rodahidup,"  Fake?    Covid cases down, businesses activities should be up or employment too!  No? "
3324,2021-11-22 04:13:33,1453990572,_rodahidup,"8 people die as new Covid-19 infections fall  to 1,670, the lowest since Sept 27  "
3323,2021-11-22 04:19:17,1453990572,_rodahidup,"December a litmus test that can signal need for tightening, or allow for more easing of Covid-19 measures  "
3321,2021-11-22 08:35:17,1355305513706168321,trueSGP,20 Nov 2021 Singapore covid-19 update  
3320,2021-11-22 08:35:52,1355305513706168321,trueSGP,21 Nov 2021 Singapore covid-19 daily update #sg  
3319,2021-11-22 10:53:03,1462607994521219080,LokeWengHan1, Good morning and to my respected minister. I am a Malaysian who working in Singapore and have not able to go back to visit my family for last 20 months because of COVID. Finally the Vaccination Travel Lane is going to start in 29th Nov and I have bought the ticket to g
3318,2021-11-22 16:30:22,135909074,MamaCranky, People can get Covid-19 booster shots 5 months after second dose from Nov 24  
3317,2021-11-22 16:40:25,135909074,MamaCranky," I agree, better than nothing. 15yo will get it when she gets out of home quarantine (yes even tho Bne has no covid it’s not on the VTL so must quarantine 🙄) 8 days before trip is better than nothing"
3316,2021-11-22 22:34:12,47692027,MirzaAriffin,"Singaporeans: “Omg i can’t stand it anymore can Singapore handle this pandemic better so that i can start travelling again”  Singaporeans also: “OMG it’s so troublesome to travel now so many things to do, so many covid tests,so many things to pay for to travel wahlao”  How liddat"
3315,2021-11-22 23:15:25,1346420016950829058,DrRHWilliams,My four-year-old’s class has been struck by COVID so he’s been given 7 days off. Nice to have him around but in the context of my working from home…  
3314,2021-11-23 03:02:02,1453990572,_rodahidup,"1,461 new COVID-19 cases and 5 more deaths in Singapore; daily caseload lowest in nearly 2 months     "
3313,2021-11-23 08:48:11,14314503,AaronUnKoch,These Fools Thought a COVID Party Sounded Fun. Now They Are on Respirators.   
3312,2021-11-23 09:08:36,1355305513706168321,trueSGP,22 Nov 2021 Singapore daily Covid-19 update #singapore #Covid  
3311,2021-11-23 14:04:08,81342472,VishnoiSays,Mindspace REIT On Impact Of Covid On Occupancy Rates  
3310,2021-11-23 15:45:05,919518816345907201,ShanadiJ,Went out after 10days of SHN #Covid_19 #StayHome  
3309,2021-11-23 22:32:47,1453990572,_rodahidup,"Singapore reports 1,782 new COVID-19 cases and 5 deaths; ICU utilisation rate at 55.2%     "
3308,2021-11-23 23:05:05,81342472,VishnoiSays,Covid Antivirals Don't Replace Vaccines: Johns Hopkins' Adalja  
3307,2021-11-23 23:05:09,81342472,VishnoiSays,Finland's Capital City Region Set to Recommend Remote Work on Covid Surge  
3306,2021-11-23 23:24:17,1453990572,_rodahidup,"Singapore 'optimistic' that land border with Malaysia can reopen end-Nov, says Covid-19 task force  "
3305,2021-11-24 04:53:48,1453990572,_rodahidup,Dutch COVID-19 patients transferred to Germany as hospitals struggle     
3304,2021-11-24 17:38:16,188347682,temptempholder,Client heard I covid positive like spooked like that. Delay meeting me until long enough
3303,2021-11-24 19:17:35,49508430,toothfully,"Couple appeal against conviction, jail sentence for obstructing Covid-19 contact tracing efforts   via "
3302,2021-11-24 19:27:16,188347682,temptempholder,Seeing people taking turns to discriminate and be discriminated others based on perception of people who have covid   Is sure a fun way  
3301,2021-11-24 20:44:26,960193602226802689,mohd_zach,🦠 Blackpink's Lisa has tested positive for Covid-19.  GWS Lalisa...  ➡️    Follow us on  for the latest updates
3300,2021-11-24 23:37:52,188347682,temptempholder,This two days like no diahorrea. Finger cross. Fuck Sia. Covid or due to mala dishes or due to Eternals fighting Demons in me.  Correlation is not causation you bitch
3299,2021-11-25 00:17:28,188347682,temptempholder,"Getting a mild infection after Covid-19 vaccination gives best protection against future variants: Expert  Current vaccines teach the body to recognise the spike proteins on the surface of the virus, but that could change as the virus mutates.  .   "
3298,2021-11-25 01:43:59,188347682,temptempholder,"Covid meeting among themselves: we have verified it experimentally, and our hypothesis is true. we conclude that humans can't get their shit together"
3297,2021-11-25 09:17:37,188347682,temptempholder,"VTL is finally opened for Mars and Earth  I shall have the honour of bringing the first covid case to share with Marsiling. When I reached Mar, I will take Marsiling MRT train to their CBD area Mode of transport: Blue Origin"
